profound–was|(1, [(1374164, 10889)])
level|(1, [(334315, 2447)])
safe–i|(1, [(1733437, 13740)])
ocular|(4, [(681358, 4934), (1214042, 9390), (1416243, 11264), (1900109, 15256)])
extraordinary|(57, [(13931, 93), (83625, 819), (96557, 891), (102489, 924), (136535, 1128), (150660, 1209), (157820, 1264), (159286, 1272), (165669, 1310), (175635, 1359), (181043, 1385), (181051, 1385), (202887, 1544), (213621, 1706), (214591, 1717), (259828, 1976), (288513, 2138), (359222, 2598), (392212, 2831), (505428, 3541), (615859, 4257), (726155, 5296), (727405, 5302), (758142, 5506), (866933, 6404), (887082, 6527), (895560, 6586), (917291, 6814), (948817, 7066), (1023511, 7743), (1092943, 8412), (1094673, 8429), (1113099, 8551), (1122261, 8611), (1147173, 8792), (1226580, 9495), (1238460, 9600), (1333939, 10535), (1369813, 10864), (1375231, 10901), (1377984, 10942), (1391822, 11048), (1405524, 11184), (1426385, 11351), (1435891, 11404), (1444754, 11483), (1465313, 11650), (1476389, 11740), (1555747, 12470), (1582200, 12644), (1672688, 13274), (1710906, 13549), (1717451, 13587), (1772300, 14098), (1781444, 14208), (1781859, 14213), (1932487, 15459)])
good-humored|(1, [(1765057, 14018)])
stuff|(1, [(1264240, 9848)])
gasteropeda|(1, [(411383, 2945)])
unguided|(1, [(1239724, 9609)])
asphodel-interspersed|(1, [(965850, 7203)])
thrilling|(3, [(698743, 5138), (1230178, 9518), (1478824, 11757)])
rapturous|(1, [(1478765, 11756)])
periodical|(5, [(149916, 1203), (773590, 5624), (777774, 5658), (1625797, 12940), (1627995, 12960)])
heart–i|(1, [(696161, 5125)])
forty-one|(1, [(1097499, 8445)])
debaucheries–flagrant|(1, [(879, 8)])
tanbark|(1, [(817758, 6019)])
placed–not|(1, [(1940672, 15562)])
soft|(15, [(26923, 252), (146561, 1183), (177348, 1368), (315347, 2324), (411844, 2947), (421921, 3013), (428434, 3050), (428939, 3053), (542422, 3777), (984216, 7341), (1036863, 7923), (1158876, 8864), (1316006, 10416), (1538383, 12302), (1964363, 15708)])
experienced|(3, [(140681, 1154), (422715, 3019), (1086857, 8379)])
