learnedly|(2, [(1124422, 8625), (1371927, 10873)])
actually|(50, [(12884, 91), (96431, 891), (100938, 915), (109536, 966), (113029, 982), (123352, 1052), (135096, 1121), (136723, 1129), (141510, 1157), (158916, 1271), (165170, 1307), (270793, 2040), (296825, 2190), (373126, 2700), (568133, 3937), (604693, 4196), (651659, 4585), (726968, 5301), (818076, 6022), (926386, 6877), (1010729, 7579), (1033459, 7891), (1057792, 8159), (1150527, 8815), (1218948, 9435), (1259156, 9797), (1380428, 10960), (1385992, 11009), (1387896, 11023), (1400523, 11132), (1425808, 11349), (1444493, 11481), (1446332, 11490), (1477337, 11745), (1487531, 11831), (1488714, 11840), (1501926, 11974), (1513591, 12079), (1576085, 12612), (1600295, 12742), (1643695, 13075), (1671715, 13267), (1875980, 15015), (1882846, 15084), (1884699, 15101), (1887480, 15124), (1914951, 15339), (1916170, 15344), (1917449, 15352), (1918849, 15360)])
wully|(1, [(806263, 5876)])
excess|(1, [(1498723, 11941)])
meantime|(12, [(644881, 4513), (787368, 5736), (790688, 5766), (793242, 5787), (976846, 7273), (1130748, 8673), (1204430, 9263), (1378666, 10944), (1480679, 11771), (1564640, 12527), (1752837, 13917), (1928413, 15414)])
indescribably|(1, [(1530329, 12242)])
inaudibly|(1, [(727934, 5304)])
ere|(11, [(61414, 556), (80911, 807), (167654, 1319), (763318, 5541), (1071340, 8277), (1198175, 9164), (1417573, 11279), (1571494, 12588), (1791759, 14285), (1852596, 14768), (1935295, 15496)])
not|(47, [(194603, 1481), (197748, 1499), (245851, 1889), (352317, 2559), (437635, 3100), (441965, 3126), (472058, 3315), (510103, 3568), (612362, 4238), (729712, 5314), (746784, 5432), (771093, 5604), (823729, 6064), (838999, 6165), (886563, 6523), (889266, 6541), (905234, 6682), (999544, 7473), (1010726, 7579), (1020545, 7708), (1118522, 8590), (1180764, 9021), (1250407, 9726), (1295752, 10167), (1332884, 10530), (1352459, 10704), (1399014, 11117), (1491216, 11862), (1586637, 12667), (1587635, 12677), (1700968, 13471), (1722678, 13626), (1722930, 13631), (1749860, 13887), (1756887, 13949), (1780635, 14199), (1801824, 14375), (1817524, 14481), (1824071, 14522), (1830104, 14552), (1853006, 14779), (1921624, 15378), (1929101, 15418), (1940586, 15561), (1941181, 15566), (1950281, 15622), (1959436, 15678)])
together|(91, [(20323, 138), (59811, 536), (80930, 807), (98244, 897), (127800, 1079), (128449, 1083), (156143, 1252), (173153, 1344), (191244, 1437), (222761, 1762), (224492, 1773), (235920, 1836), (280259, 2085), (282477, 2104), (283896, 2114), (284316, 2116), (311851, 2304), (318340, 2344), (342690, 2496), (344618, 2510), (357756, 2589), (381677, 2762), (399037, 2870), (402179, 2893), (419920, 3002), (449144, 3168), (465692, 3278), (470628, 3305), (509691, 3565), (515270, 3603), (519529, 3626), (530505, 3706), (534788, 3734), (538874, 3757), (556653, 3871), (568215, 3938), (584959, 4068), (596014, 4137), (610570, 4225), (625569, 4319), (651436, 4582), (671801, 4834), (685929, 5002), (700659, 5151), (703655, 5164), (713090, 5221), (723027, 5283), (837562, 6154), (878237, 6476), (898684, 6619), (899348, 6626), (904849, 6676), (912607, 6762), (917976, 6817), (931161, 6916), (952923, 7094), (955430, 7115), (982177, 7322), (988337, 7364), (995039, 7440), (998037, 7459), (1000839, 7483), (1016694, 7674), (1016791, 7677), (1025110, 7793), (1062375, 8206), (1108623, 8523), (1108815, 8525), (1142230, 8750), (1142523, 8753), (1186996, 9064), (1232657, 9541), (1252091, 9750), (1252363, 9752), (1258678, 9796), (1294046, 10153), (1337278, 10554), (1494422, 11895), (1518703, 12145), (1527041, 12213), (1637092, 13020), (1664839, 13215), (1673527, 13280), (1714690, 13574), (1719759, 13605), (1842527, 14635), (1849088, 14695), (1867410, 14960), (1871910, 14991), (1904771, 15278), (1909001, 15308)])
assuredly|(11, [(727725, 5303), (746789, 5432), (760004, 5520), (780454, 5670), (781514, 5676), (1386209, 11011), (1418919, 11289), (1424317, 11337), (1779587, 14183), (1789258, 14261), (1811172, 14437)])
hoarsely|(2, [(1070428, 8271), (1463439, 11627)])
merely|(125, [(10811, 81), (71748, 628), (73396, 669), (89121, 850), (97501, 893), (127614, 1078), (165915, 1312), (215718, 1721), (234270, 1826), (257160, 1958), (276371, 2068), (277197, 2071), (419293, 2997), (454760, 3209), (478412, 3352), (527554, 3683), (541844, 3775), (586719, 4076), (609743, 4219), (615440, 4256), (639905, 4464), (649006, 4562), (664456, 4753), (680330, 4922), (704724, 5171), (722733, 5280), (747171, 5438), (751977, 5473), (839570, 6167), (850110, 6243), (850760, 6248), (853633, 6274), (923178, 6851), (936600, 6956), (938525, 6971), (955777, 7119), (987317, 7360), (989014, 7368), (1013715, 7607), (1015332, 7635), (1027630, 7831), (1068548, 8248), (1090605, 8405), (1096745, 8442), (1125505, 8630), (1128102, 8646), (1134601, 8701), (1149344, 8806), (1152090, 8824), (1153379, 8833), (1154769, 8840), (1164461, 8899), (1164803, 8903), (1170376, 8949), (1178855, 9003), (1184580, 9046), (1193510, 9107), (1201311, 9219), (1258688, 9796), (1274788, 9976), (1299944, 10200), (1327808, 10496), (1328621, 10504), (1365721, 10839), (1367738, 10854), (1369358, 10861), (1381442, 10966), (1383356, 10977), (1389497, 11031), (1392734, 11053), (1413877, 11251), (1429953, 11373), (1480249, 11767), (1510649, 12061), (1515271, 12100), (1516649, 12115), (1539480, 12307), (1548542, 12393), (1556429, 12473), (1565177, 12531), (1570039, 12578), (1577341, 12618), (1587899, 12680), (1630455, 12976), (1631819, 12986), (1670222, 13258), (1672036, 13268), (1673520, 13280), (1679323, 13308), (1688063, 13374), (1699903, 13460), (1708039, 13518), (1712705, 13561), (1717271, 13586), (1721512, 13616), (1727838, 13677), (1735916, 13768), (1740769, 13811), (1755010, 13931), (1782818, 14219), (1792206, 14288), (1797813, 14332), (1808511, 14417), (1821209, 14508), (1823547, 14520), (1826775, 14535), (1829344, 14546), (1830423, 14554), (1835713, 14593), (1841262, 14628), (1848184, 14685), (1854397, 14806), (1871219, 14987), (1872537, 14996), (1872912, 14998), (1889718, 15143), (1889745, 15143), (1894966, 15203), (1921321, 15376), (1922529, 15381), (1937174, 15527), (1946055, 15595), (1946109, 15595), (1948552, 15611), (1956845, 15663)])
fast|(21, [(5973, 39), (94521, 879), (120807, 1037), (148732, 1195), (148747, 1195), (464260, 3268), (466307, 3281), (555300, 3864), (588846, 4091), (593398, 4116), (593672, 4117), (595391, 4131), (640727, 4472), (798281, 5834), (819569, 6033), (834924, 6133), (836086, 6142), (903431, 6662), (1542033, 12325), (1659729, 13186), (1784616, 14232)])
transcendentally|(1, [(1005974, 7531)])
pleasurably|(1, [(313903, 2315)])
extremely|(7, [(6380, 42), (106715, 945), (125554, 1066), (130918, 1098), (160575, 1282), (177359, 1368), (1585443, 12656)])
overboard|(19, [(55266, 500), (220165, 1747), (275949, 2064), (297024, 2191), (297162, 2193), (297790, 2196), (305267, 2261), (310833, 2301), (576747, 3995), (577157, 4000), (592062, 4108), (594002, 4119), (600498, 4170), (891754, 6557), (906536, 6700), (924556, 6862), (1540969, 12318), (1541831, 12324), (1544576, 12352)])
least|(1, [(1760207, 13986)])
too|(1, [(1814132, 14457)])
justly|(14, [(6559, 45), (207505, 1615), (243811, 1878), (311167, 2302), (509540, 3564), (649373, 4566), (663407, 4739), (740788, 5397), (961114, 7171), (977665, 7280), (1103044, 8481), (1170050, 8948), (1756038, 13939), (1926622, 15404)])
thinking–that|(1, [(1643632, 13075)])
usefully|(1, [(847704, 6229)])
nem|(2, [(820572, 6041), (1588820, 12684)])
schemes|(1, [(1742319, 13822)])
mistaken–no|(1, [(669999, 4811)])
snugly|(2, [(121290, 1040), (583849, 4061)])
amazement–my|(1, [(1392757, 11053)])
deep|(3, [(85711, 828), (222941, 1763), (1683552, 13338)])
awkward|(2, [(1341512, 10589), (1656621, 13178)])
peculiarly|(7, [(403607, 2905), (482146, 3378), (1146000, 8783), (1177607, 8993), (1277309, 10003), (1481804, 11776), (1528647, 12226)])
divinely|(1, [(1957005, 15664)])
back|(102, [(2767, 15), (62133, 563), (98769, 900), (108410, 961), (125830, 1068), (196443, 1492), (283215, 2107), (290969, 2155), (309194, 2291), (329341, 2406), (343178, 2500), (363867, 2627), (385088, 2786), (421983, 3014), (422573, 3018), (422689, 3019), (425554, 3033), (429322, 3054), (431051, 3062), (432226, 3069), (442291, 3129), (455682, 3215), (462325, 3259), (476932, 3344), (481826, 3375), (493155, 3463), (504549, 3534), (526788, 3679), (548107, 3810), (555327, 3864), (558753, 3883), (569431, 3947), (595592, 4132), (597622, 4152), (609115, 4214), (611223, 4231), (631768, 4364), (634128, 4388), (644546, 4510), (660202, 4696), (696664, 5127), (698405, 5137), (730859, 5334), (783546, 5693), (798875, 5836), (799358, 5837), (800270, 5841), (801292, 5847), (802742, 5856), (834474, 6128), (857723, 6323), (861240, 6357), (861777, 6362), (899859, 6629), (946611, 7053), (977350, 7278), (983022, 7330), (1005759, 7529), (1026238, 7809), (1031611, 7874), (1047470, 8029), (1048934, 8040), (1054178, 8117), (1055201, 8131), (1056507, 8142), (1066137, 8234), (1075153, 8303), (1111546, 8540), (1156977, 8852), (1200471, 9211), (1217343, 9421), (1221539, 9453), (1272502, 9960), (1281841, 10047), (1302237, 10252), (1305144, 10290), (1311358, 10362), (1312273, 10378), (1322550, 10466), (1377331, 10939), (1395444, 11077), (1436081, 11405), (1490427, 11856), (1496687, 11917), (1535902, 12286), (1545082, 12357), (1619156, 12881), (1619670, 12883), (1702111, 13475), (1746141, 13853), (1773643, 14106), (1793103, 14293), (1841681, 14631), (1844317, 14645), (1850367, 14727), (1850551, 14731), (1852595, 14768), (1855626, 14819), (1857196, 14841), (1861465, 14911), (1877626, 15031), (1947734, 15607)])
unconsciously|(1, [(1567488, 12560)])
unevenly|(1, [(913947, 6781)])
whatever|(13, [(115767, 998), (260160, 1978), (405756, 2915), (409349, 2936), (483938, 3389), (532159, 3721), (625259, 4317), (808687, 5919), (822136, 6054), (996802, 7452), (1292704, 10133), (1451526, 11525), (1942014, 15571)])
driven|(1, [(1460080, 11596)])
briskly|(1, [(1454017, 11544)])
sir|(1, [(1311749, 10369)])
reperuse|(1, [(1166137, 8915)])
frolicsome|(1, [(1067060, 8241)])
graven|(1, [(167805, 1320)])
on–there|(1, [(537994, 3752)])
irregularly|(3, [(1075433, 8305), (1456241, 11567), (1945650, 15592)])
tore|(3, [(724238, 5288), (1108902, 8526), (1142610, 8754)])
hence|(2, [(412195, 2948), (1814069, 14456)])
gently–there|(1, [(1538656, 12303)])
excessively|(46, [(52867, 484), (120778, 1037), (157575, 1262), (181630, 1387), (269003, 2031), (300081, 2221), (327445, 2397), (346173, 2522), (374168, 2708), (397656, 2863), (428569, 3052), (439516, 3112), (569203, 3945), (574244, 3975), (578239, 4011), (597962, 4155), (600892, 4172), (624700, 4314), (692774, 5091), (768228, 5577), (954198, 7107), (999684, 7475), (1011854, 7591), (1021713, 7720), (1154274, 8838), (1244319, 9651), (1259880, 9802), (1274179, 9973), (1309267, 10340), (1332232, 10526), (1358447, 10773), (1395193, 11074), (1471903, 11703), (1528143, 12221), (1531284, 12249), (1588812, 12684), (1589224, 12689), (1620215, 12891), (1647016, 13116), (1657097, 13179), (1677225, 13295), (1700022, 13461), (1751860, 13910), (1767367, 14045), (1778461, 14167), (1843283, 14639)])
musically|(2, [(708730, 5198), (986239, 7353)])
–a|(1, [(670392, 4816)])
tearfully|(1, [(827565, 6097)])
everlastingly|(2, [(1379117, 10951), (1881649, 15069)])
thoughtfully|(5, [(137650, 1134), (425856, 3035), (512738, 3583), (1215480, 9398), (1378753, 10946)])
seldom|(18, [(19835, 128), (171856, 1339), (367220, 2644), (585554, 4070), (747839, 5443), (879518, 6483), (899547, 6627), (953503, 7101), (1011436, 7588), (1094695, 8429), (1317238, 10424), (1409461, 11217), (1410599, 11230), (1591650, 12702), (1592840, 12704), (1769115, 14062), (1859577, 14900), (1918726, 15359)])
about|(1, [(167079, 1317)])
thenceforward|(1, [(1724889, 13660)])
often|(62, [(36568, 361), (63079, 567), (110780, 970), (135901, 1124), (165955, 1312), (169118, 1325), (324549, 2379), (333867, 2444), (399055, 2870), (412551, 2951), (412692, 2952), (415687, 2977), (585641, 4071), (585862, 4072), (587960, 4085), (738740, 5386), (742136, 5404), (846581, 6219), (874809, 6455), (878220, 6476), (880920, 6488), (884477, 6507), (889113, 6540), (903976, 6667), (905974, 6693), (959161, 7150), (972416, 7243), (984837, 7345), (991810, 7397), (993413, 7419), (1004546, 7515), (1105212, 8501), (1171144, 8953), (1243986, 9649), (1247835, 9695), (1277313, 10003), (1321428, 10460), (1328220, 10500), (1349646, 10674), (1358875, 10776), (1467568, 11669), (1476908, 11743), (1492377, 11871), (1519445, 12150), (1523313, 12179), (1543800, 12338), (1574544, 12603), (1588125, 12681), (1589517, 12690), (1591719, 12702), (1598619, 12736), (1609060, 12788), (1736626, 13772), (1746592, 13857), (1765467, 14021), (1803267, 14387), (1811749, 14444), (1837854, 14603), (1844425, 14646), (1891232, 15155), (1922481, 15381), (1925028, 15396)])
reverently|(1, [(984628, 7342)])
laid|(1, [(253377, 1938)])
cadaverously|(2, [(625983, 4322), (719865, 5260)])
morbidly|(1, [(1921639, 15378)])
it–thus|(2, [(676137, 4889), (1406213, 11188)])
superbly|(1, [(1763497, 14006)])
perpetually|(5, [(330333, 2412), (1366953, 10846), (1651582, 13149), (1723440, 13644), (1743432, 13834)])
enchantingly|(1, [(1959500, 15678)])
familiarly|(2, [(1778, 12), (1851470, 14744)])
with|(1, [(59407, 534)])
mustard|(1, [(997818, 7458)])
painfully|(3, [(704522, 5170), (1452832, 11538), (1775598, 14129)])
aghast|(5, [(62134, 563), (731603, 5338), (865003, 6386), (1058705, 8170), (1378669, 10944)])
immensely|(7, [(451681, 3186), (591610, 4106), (705662, 5176), (1345565, 10640), (1379845, 10956), (1384872, 10998), (1788005, 14252)])
soon|(177, [(7617, 52), (16438, 105), (38030, 370), (51510, 473), (53393, 486), (55187, 499), (65486, 584), (73378, 669), (82556, 814), (83908, 820), (87037, 836), (87488, 839), (89565, 853), (98144, 896), (118243, 1018), (121138, 1039), (134623, 1117), (136703, 1129), (152400, 1231), (160990, 1285), (162797, 1295), (165155, 1307), (169874, 1328), (211691, 1681), (223024, 1764), (226325, 1782), (227126, 1786), (229377, 1797), (232326, 1814), (245210, 1885), (259098, 1972), (261131, 1985), (271659, 2046), (283414, 2109), (286074, 2124), (286564, 2126), (292607, 2165), (341350, 2487), (361782, 2616), (362238, 2619), (365193, 2633), (373743, 2704), (375392, 2718), (377692, 2734), (383176, 2770), (384873, 2784), (385478, 2789), (407784, 2924), (416373, 2980), (423087, 3020), (423674, 3024), (424010, 3026), (426015, 3036), (428074, 3047), (435335, 3086), (456055, 3217), (478523, 3353), (480485, 3367), (488034, 3413), (501359, 3513), (513813, 3592), (520505, 3632), (523646, 3655), (530998, 3709), (539926, 3764), (546984, 3803), (570252, 3951), (571268, 3957), (580537, 4036), (584718, 4066), (594341, 4121), (594827, 4125), (602887, 4184), (605456, 4200), (640562, 4471), (644273, 4507), (663079, 4735), (665423, 4762), (695829, 5122), (699471, 5141), (736339, 5370), (752332, 5475), (754395, 5485), (778214, 5660), (786909, 5731), (805558, 5872), (809082, 5923), (810207, 5932), (820639, 6043), (821169, 6046), (832741, 6114), (842780, 6193), (883317, 6502), (888443, 6536), (895473, 6585), (903410, 6662), (943757, 7025), (1010775, 7580), (1060640, 8192), (1118665, 8591), (1119598, 8598), (1133072, 8690), (1134120, 8698), (1143728, 8767), (1144001, 8768), (1150557, 8815), (1151199, 8817), (1186150, 9058), (1209140, 9335), (1209459, 9339), (1231556, 9531), (1261715, 9820), (1265971, 9868), (1268633, 9905), (1275187, 9978), (1276286, 9987), (1276293, 9987), (1283588, 10060), (1298054, 10187), (1299384, 10195), (1305848, 10295), (1321702, 10462), (1339830, 10570), (1359458, 10784), (1390791, 11043), (1396039, 11084), (1428939, 11367), (1434136, 11395), (1435637, 11403), (1438672, 11422), (1453014, 11539), (1457845, 11577), (1460074, 11596), (1471916, 11703), (1478376, 11753), (1531517, 12252), (1546220, 12370), (1560251, 12498), (1564322, 12524), (1564722, 12528), (1585138, 12654), (1596651, 12728), (1617040, 12869), (1643396, 13074), (1651243, 13145), (1657092, 13179), (1660142, 13187), (1662005, 13195), (1674047, 13283), (1674765, 13288), (1691196, 13402), (1703897, 13483), (1704740, 13486), (1705178, 13492), (1746220, 13854), (1749810, 13886), (1750029, 13888), (1750708, 13897), (1753001, 13918), (1765039, 14018), (1766148, 14026), (1777413, 14151), (1799590, 14355), (1799602, 14355), (1819693, 14500), (1848727, 14692), (1856128, 14830), (1885352, 15105), (1900103, 15256), (1902959, 15271), (1904264, 15276), (1905426, 15284), (1905565, 15285), (1909794, 15313), (1916606, 15345), (1936877, 15523), (1941254, 15567)])
impetuously|(6, [(445984, 3148), (452508, 3194), (1417361, 11275), (1460800, 11606), (1484307, 11792), (1741194, 13813)])
proudly|(1, [(826402, 6085)])
meanwhile|(2, [(185763, 1409), (928658, 6896)])
