folding|(1, [(31585, 325)])
bones–then|(1, [(1162597, 8884)])
face|(146, [(22037, 163), (26631, 246), (38901, 378), (45196, 430), (45198, 430), (45700, 434), (60913, 553), (62667, 565), (92157, 866), (96416, 891), (124648, 1060), (145613, 1178), (148093, 1193), (173649, 1349), (176034, 1362), (176082, 1362), (179748, 1379), (196517, 1493), (196791, 1494), (208097, 1622), (250937, 1920), (252552, 1929), (330250, 2411), (346850, 2526), (387872, 2805), (388289, 2807), (397076, 2860), (417845, 2987), (431072, 3062), (432159, 3069), (451475, 3184), (464674, 3272), (465437, 3277), (465925, 3279), (469091, 3297), (478690, 3354), (489578, 3424), (490956, 3439), (494446, 3474), (504709, 3536), (508541, 3560), (528845, 3692), (591727, 4107), (591764, 4107), (595051, 4127), (597950, 4155), (616352, 4261), (625981, 4322), (627362, 4332), (631075, 4360), (631965, 4366), (634630, 4391), (641619, 4480), (684108, 4974), (702478, 5159), (715949, 5234), (716541, 5237), (727904, 5304), (735185, 5365), (736108, 5369), (746438, 5427), (750381, 5458), (764993, 5559), (768621, 5579), (771113, 5604), (803254, 5861), (807166, 5885), (827533, 6097), (841829, 6185), (854726, 6287), (857639, 6322), (860213, 6351), (863552, 6376), (864311, 6382), (874968, 6456), (893126, 6570), (895900, 6589), (918317, 6819), (976950, 7275), (978531, 7290), (984249, 7341), (998221, 7461), (1002685, 7501), (1002879, 7504), (1003417, 7507), (1013721, 7607), (1029695, 7860), (1053183, 8100), (1069036, 8253), (1076148, 8311), (1081921, 8350), (1128017, 8645), (1202870, 9234), (1217508, 9423), (1217514, 9423), (1217587, 9424), (1244311, 9651), (1254457, 9765), (1257703, 9788), (1287775, 10089), (1301415, 10234), (1367908, 10855), (1378288, 10943), (1386633, 11015), (1387546, 11020), (1387665, 11021), (1389340, 11029), (1401442, 11144), (1413738, 11250), (1417639, 11280), (1418156, 11285), (1473529, 11717), (1488834, 11842), (1495104, 11899), (1565260, 12532), (1583473, 12648), (1584026, 12650), (1586826, 12668), (1589228, 12689), (1590679, 12698), (1638175, 13027), (1687291, 13366), (1700026, 13461), (1700529, 13466), (1702480, 13476), (1709230, 13533), (1722411, 13623), (1761904, 13998), (1800668, 14365), (1807779, 14413), (1826152, 14532), (1827190, 14536), (1843820, 14642), (1844328, 14645), (1847841, 14678), (1859815, 14901), (1870043, 14979), (1895476, 15211), (1904777, 15278), (1904779, 15278), (1906619, 15289), (1944755, 15588), (1952749, 15633), (1957003, 15664), (1961067, 15686), (1963282, 15701)])
instability|(1, [(726601, 5299)])
canopy|(1, [(1959794, 15679)])
acceptation|(1, [(1099391, 8456)])
corporation|(2, [(809236, 5926), (809937, 5930)])
market|(3, [(408045, 2927), (411471, 2946), (1028293, 7848)])
vis-a-vis|(1, [(684546, 4977)])
warning|(2, [(515536, 3604), (978543, 7290)])
opera|(9, [(1380231, 10959), (1392137, 11050), (1395176, 11074), (1397030, 11096), (1411760, 11237), (1416493, 11265), (1564761, 12528), (1743181, 13832), (1743346, 13833)])
eccentricity|(2, [(101812, 921), (1529856, 12237)])
better|(2, [(576319, 3991), (1698046, 13446)])
laughing|(2, [(402961, 2899), (1896641, 15224)])
galaxy|(3, [(1629657, 12970), (1872976, 14998), (1874830, 15006)])
purslain|(1, [(288885, 2141)])
evil-and|(1, [(1286238, 10079)])
deducing|(1, [(1731559, 13727)])
invention–o|(1, [(686199, 5008)])
proportion|(32, [(79863, 802), (104588, 934), (107446, 951), (109589, 966), (110210, 967), (110803, 970), (116822, 1007), (142164, 1160), (146960, 1185), (156168, 1252), (163212, 1298), (363263, 2625), (449356, 3170), (567108, 3932), (683139, 4964), (688247, 5030), (743113, 5408), (791601, 5774), (926092, 6876), (988142, 7363), (1086841, 8379), (1088935, 8394), (1428378, 11361), (1428583, 11364), (1430422, 11375), (1484565, 11796), (1505375, 11996), (1512494, 12071), (1525162, 12196), (1533660, 12270), (1704301, 13484), (1712858, 13563)])
utterance|(12, [(463746, 3265), (522538, 3645), (717411, 5244), (730836, 5334), (736854, 5373), (750914, 5464), (949393, 7070), (1013102, 7603), (1412646, 11244), (1737684, 13781), (1795432, 14312), (1846877, 14660)])
orthodoxy|(1, [(1571793, 12591)])
primum|(1, [(1732182, 13732)])
by-the-by|(2, [(674103, 4866), (1869518, 14975)])
