sentence_text|sentence_number|paragraph_number|title|publication_date|genre
Pestis eram vivus–moriens tua mors ero.|0|0|Metzengerstein|January 14, 1832|Horror / Satire
HORROR and fatality have been stalking abroad in all ages.|0|1|Metzengerstein|January 14, 1832|Horror / Satire
Why then give a date to this story I have to tell?|1|1|Metzengerstein|January 14, 1832|Horror / Satire
Let it suffice to say, that at the period of which I speak, there existed, in the interior of Hungary, a settled although hidden belief in the doctrines of the Metempsychosis.|2|1|Metzengerstein|January 14, 1832|Horror / Satire
Of the doctrines themselves–that is, of their falsity, or of their probability–I say nothing.|3|1|Metzengerstein|January 14, 1832|Horror / Satire
"I assert, however, that much of our incredulity–as La Bruyere says of all our unhappiness–""vient de ne pouvoir etre seuls""."|4|1|Metzengerstein|January 14, 1832|Horror / Satire
But there are some points in the Hungarian superstition which were fast verging to absurdity.|0|2|Metzengerstein|January 14, 1832|Horror / Satire
They–the Hungarians–differed very essentially from their Eastern authorities.|1|2|Metzengerstein|January 14, 1832|Horror / Satire
"For example, ""The soul,"" said the former–I give the words of an acute and intelligent Parisian–""ne demeure qu'un seul fois dans un corps sensible: au reste–un cheval, un chien, un homme meme, n'est que la ressemblance peu tangible de ces animaux""."|2|2|Metzengerstein|January 14, 1832|Horror / Satire
The families of Berlifitzing and Metzengerstein had been at variance for centuries.|0|3|Metzengerstein|January 14, 1832|Horror / Satire
Never before were two houses so illustrious, mutually embittered by hostility so deadly.|1|3|Metzengerstein|January 14, 1832|Horror / Satire
"Indeed at the era of this history, it was observed by an old crone of haggard and sinister appearance, that ""fire and water might sooner mingle than a Berlifitzing clasp the hand of a Metzengerstein""."|2|3|Metzengerstein|January 14, 1832|Horror / Satire
"The origin of this enmity seems to be found in the words of an ancient prophecy–""A lofty name shall have a fearful fall when, as the rider over his horse, the mortality of Metzengerstein shall triumph over the immortality of Berlifitzing""."|3|3|Metzengerstein|January 14, 1832|Horror / Satire
To be sure the words themselves had little or no meaning.|0|4|Metzengerstein|January 14, 1832|Horror / Satire
But more trivial causes have given rise–and that no long while ago–to consequences equally eventful.|1|4|Metzengerstein|January 14, 1832|Horror / Satire
Besides, the estates, which were contiguous, had long exercised a rival influence in the affairs of a busy government.|2|4|Metzengerstein|January 14, 1832|Horror / Satire
Moreover, near neighbors are seldom friends; and the inhabitants of the Castle Berlifitzing might look, from their lofty buttresses, into the very windows of the palace Metzengerstein.|3|4|Metzengerstein|January 14, 1832|Horror / Satire
Least of all had the more than feudal magnificence, thus discovered, a tendency to allay the irritable feelings of the less ancient and less wealthy Berlifitzings.|4|4|Metzengerstein|January 14, 1832|Horror / Satire
What wonder then, that the words, however silly, of that prediction, should have succeeded in setting and keeping at variance two families already predisposed to quarrel by every instigation of hereditary jealousy?|5|4|Metzengerstein|January 14, 1832|Horror / Satire
