|sentence_text|sentence_number|paragraph_number|title|publication_date|genre
0|Pestis eram vivus–moriens tua mors ero. 0|0|0|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
1|HORROR and fatality have been stalking abroad in all ages. 39|0|1|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
2|Why then give a date to this story I have to tell? 97|1|1|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
3|Let it suffice to say, that at the period of which I speak, there existed, in the interior of Hungary, a settled although hidden belief in the doctrines of the Metempsychosis. 147|2|1|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
4|Of the doctrines themselves–that is, of their falsity, or of their probability–I say nothing. 322|3|1|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
5|"I assert, however, that much of our incredulity–as La Bruyere says of all our unhappiness–""vient de ne pouvoir etre seuls"". 415"|4|1|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
6|Upon the succession of a proprietor so young, with a character so well known, to a fortune so unparalleled, little speculation was afloat in regard to his probable course of conduct. 538|0|10|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
7|And, indeed, for the space of three days, the behavior of the heir out-heroded Herod, and fairly surpassed the expectations of his most enthusiastic admirers. 720|1|10|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
8|Shameful debaucheries–flagrant treacheries–unheard-of atrocities–gave his trembling vassals quickly to understand that no servile submission on their part–no punctilios of conscience on his own–were thenceforward to prove any security against the remorseless fangs of a petty Caligula. 878|2|10|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
9|On the night of the fourth day, the stables of the castle Berlifitzing were discovered to be on fire; and the unanimous opinion of the neighborhood added the crime of the incendiary to the already hideous list of the Baron's misdemeanors and enormities. 1163|3|10|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
10|But during the tumult occasioned by this occurrence, the young nobleman himself sat apparently buried in meditation, in a vast and desolate upper apartment of the family palace of Metzengerstein. 1416|0|11|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
11|The rich although faded tapestry hangings which swung gloomily upon the walls, represented the shadowy and majestic forms of a thousand illustrious ancestors. 1611|1|11|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
12|Here, rich-ermined priests, and pontifical dignitaries, familiarly seated with the autocrat and the sovereign, put a veto on the wishes of a temporal king, or restrained with the fiat of papal supremacy the rebellious sceptre of the Arch-enemy. 1769|2|11|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
13|There, the dark, tall statures of the Princes Metzengerstein–their muscular war-coursers plunging over the carcasses of fAllan foes–startled the steadiest nerves with their vigorous expression; and here, again, the voluptuous and swan-like figures of the dames of days gone by, floated away in the mazes of an unreal dance to the strains of imaginary melody. 2013|3|11|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
14|But as the Baron listened, or affected to listen, to the gradually increasing uproar in the stables of Berlifitzing–or perhaps pondered upon some more novel, some more decided act of audacity–his eyes became unwittingly rivetted to the figure of an enormous, and unnaturally colored horse, represented in the tapestry as belonging to a Saracen ancestor of the family of his rival. 2371|0|12|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
15|The horse itself, in the foreground of the design, stood motionless and statue-like–while farther back, its discomfited rider perished by the dagger of a Metzengerstein. 2751|1|12|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
16|On Frederick's lip arose a fiendish expression, as he became aware of the direction which his glance had, without his consciousness, assumed. 2920|0|13|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
17|Yet he did not remove it. 3061|1|13|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
18|On the contrary, he could by no means account for the overwhelming anxiety which appeared falling like a pall upon his senses. 3086|2|13|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
19|It was with difficulty that he reconciled his dreamy and incoherent feelings with the certainty of being awake. 3212|3|13|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
20|The longer he gazed the more absorbing became the spell–the more impossible did it appear that he could ever withdraw his glance from the fascination of that tapestry. 3323|4|13|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
21|But the tumult without becoming suddenly more violent, with a compulsory exertion he diverted his attention to the glare of ruddy light thrown full by the flaming stables upon the windows of the apartment. 3490|5|13|Metzengerstein|1832-01-14 00:00:00|['Horror', 'Satire']
