outrun|(1, [138622])
volunteer|(4, [42065, 208715, 213386, 232767])
face|(9, [201, 35845, 38694, 138428, 204052, 239110, 276045, 276065, 277507])
rotten|(2, [56201, 65412])
re-interred|(1, [55355])
re-appeared|(1, [63027])
ship|(11, [77761, 177100, 189303, 195584, 197160, 198019, 198982, 202448, 271200, 327581, 327622])
dark|(1, [169334])
afford|(85, [2204, 2603, 6270, 9196, 12125, 14894, 16220, 18658, 20769, 30609, 34397, 39447, 43836, 46742, 56975, 62905, 64845, 67975, 68010, 71322, 76873, 79065, 87434, 96474, 100032, 108035, 111253, 111629, 117863, 130876, 135881, 136841, 139405, 148813, 150129, 150819, 151201, 152631, 152999, 157220, 158415, 171401, 181233, 186747, 188269, 188310, 209614, 217565, 226772, 228060, 235354, 237845, 238648, 239719, 243915, 244527, 244670, 245037, 253714, 267144, 287380, 296195, 298020, 302790, 305693, 307105, 307270, 308098, 315519, 316263, 316625, 324088, 331077, 331730, 331813, 340497, 340969, 342730, 343125, 344466, 346496, 350704, 352867, 354090, 354853])
cruise|(3, [196598, 218339, 223038])
exhibit|(15, [8391, 16464, 37793, 72159, 72268, 73024, 155924, 256526, 345383, 346212, 348059, 348437, 348939, 351834, 353325])
review|(1, [297717])
insult|(6, [70584, 89262, 126141, 293781, 312068, 323678])
arrange|(43, [2982, 13136, 31799, 32593, 33085, 39113, 50774, 57125, 71497, 73381, 84219, 90723, 91217, 109073, 131925, 151393, 159353, 177201, 179664, 179747, 181223, 184634, 188928, 193096, 195831, 199757, 200166, 200894, 212402, 214709, 220300, 231808, 237135, 263542, 265510, 295278, 309119, 324529, 328805, 333154, 345673, 347351, 347431])
proof|(4, [54545, 60612, 60659, 159020])
re-laid|(1, [115034])
bob|(1, [269544])
northwest|(1, [225358])
degree|(1, [329294])
fait|(2, [19949, 300886])
bind|(11, [50034, 77251, 98728, 140836, 148384, 148990, 174423, 202607, 218480, 235811, 245523])
boil|(5, [93870, 93982, 188286, 232408, 232433])
fall|(121, [1280, 1595, 3912, 5320, 12720, 13102, 13215, 15640, 15642, 25820, 26809, 26813, 27606, 30793, 34739, 43762, 44463, 47990, 51476, 57346, 58577, 79458, 80528, 80567, 87650, 93080, 93641, 95254, 97052, 99249, 100226, 107367, 113282, 113502, 116098, 116920, 120899, 122276, 123201, 123210, 124810, 125625, 128911, 131579, 133382, 133797, 134449, 139957, 139998, 141418, 142549, 144080, 144094, 144544, 147188, 147642, 148578, 154872, 164907, 165260, 170860, 175953, 176622, 177339, 178860, 182448, 183604, 183754, 185029, 185548, 187078, 187597, 188828, 190671, 192236, 193842, 195918, 199125, 199491, 204452, 212131, 212306, 214111, 217453, 222978, 229121, 233906, 235231, 240601, 240771, 240935, 241039, 241406, 242256, 242833, 247239, 248659, 248772, 252903, 253905, 260980, 263308, 267668, 268874, 271758, 282728, 282895, 293230, 294987, 306108, 308026, 317104, 317533, 322936, 330494, 330785, 331717, 346600, 346843, 355906, 357348])
re-enter|(2, [311288, 344882])
reheaded|(1, [298588])
pas|(1, [172291])
mutter|(10, [40287, 79152, 80440, 100157, 180515, 192639, 271695, 279150, 281104, 323883])
deafen|(1, [227735])
